"id","player","pos","team","avg_projection","overall_ecr","adp_average","CBS","ESPN","FFToday","FanDuel","FantasyPros","FantasySharks","RTSports","adp_yahoo","adp_espn"
"16286","Jake Moody","K","BAL",111.09,NA,NA,NA,NA,NA,122.87,NA,NA,40,NA,NA
"17500","Denzel Boston","WR","CLE",111.05,152.53,131.3,162.2,142.3,104.6,102.47,NA,2.9,159.6,131.3,169.2
"16165","Tyjae Spears","RB","TEN",110.45,140.1,132.5,145.4,158.2,115.9,102.83,NA,8.8,135.6,132.5,148.2
"15802","Cade Otton","TE","TBB",110.05,238.66,NA,161.6,101,123.5,112.69,NA,9.3,152.2,NA,170.3
"16628","Jalen McMillan","WR","TBB",109.48,175.03,NA,135.3,132.3,118.5,132.87,NA,7.9,130,NA,163.7
"11222","Keenan Allen","WR","IND",108.72,189.07,125.5,159.5,126.9,129.6,NA,NA,9.6,118,125.5,165.5
"15786","Jalen Nailor","WR","LVR",108.72,191.27,129.1,130.5,123.9,113.7,103.11,NA,6,175.1,129.1,171.2
"15369","Riley Patterson","K","MIA",108.69,NA,NA,132.99,86,30,134.43,NA,8.3,32,NA,169.9
"15889","Chigoziem Okonkwo","TE","WAS",107.43,162.46,NA,133.8,118.9,123.9,98.19,NA,7.2,162.6,NA,170.2
"13303","Jake Elliott","K","PHI",106.67,297.1,128.1,132.6,95,45,128.43,NA,6.3,42,128.1,169.1
"16604","MarShawn Lloyd","RB","GBP",106.46,107.1,93.5,176.2,133.9,176.9,50.49,NA,13.1,100.6,93.5,111.3
"13164","Cooper Kupp","WR","SEA",106.26,226.41,NA,148.7,103.2,98.5,180.42,NA,6.89,104.1,NA,169.3
"14860","Jauan Jennings","WR","MIN",106.13,178.02,NA,154.2,113.5,101.6,89.59,NA,7.7,174.2,NA,171.1
"16444","Blake Grupe","K","NYJ",105.52,257,NA,139.42,81,30,132,NA,8.4,28,NA,170
"16292","Chad Ryland","K","ARI",104.04,270.38,NA,131.14,79,34,129.58,NA,8.1,30,NA,169.9
"14600","Joey Slye","K","TEN",102.61,278.88,NA,139.17,82,28,117.65,NA,6.7,34,NA,169.8
"17277","Ryan Fitzgerald","K","CAR",102.52,266.89,NA,118.69,82,35,128.65,NA,5.6,35,NA,169.8
"17726","Drew Stevens","K","WAS",100.75,293.6,NA,132.96,93,40,NA,NA,5.9,25,NA,170
"0532","Houston Texans","DST","HOU",99.92,153.93,94.1,140.1,112,123,70.25,123.4,8.4,117,94.1,92.6
"16419","Andre Szmyt","K","CLE",99.56,NA,NA,112.76,77,32,131.42,NA,5.8,30,NA,169.9
"15293","Rashod Bateman","WR","BAL",99.18,226.97,NA,146.3,123.3,125.2,103.06,NA,7,90.2,NA,171.4
"13132","Alvin Kamara","RB","NOS",99.16,168.85,125.8,106.7,114.9,103.3,152.95,NA,6.6,114.9,125.8,162.2
"0511","Denver Broncos","DST","DEN",98.3,164.47,102.5,145.3,108,114,71.33,121,8.7,120,102.5,99
"11674","Brandin Cooks","WR","FA",96.01,322.5,NA,NA,NA,NA,96.01,NA,NA,NA,NA,NA
"0510","Pittsburgh Steelers","DST","PIT",95.67,186.46,NA,131.2,110,117,69.6,117.6,6.7,111,NA,122.2
